Pukou,28.57142857142857
GuLou,79.54545454545455
Pukou,144.44444444444446
QinHuai,67.9245283018868
JianYe,64.0
JianYe,68.22057987492894
Pukou,42.857142857142854
JiangNing,8.64
Pukou,26.315789473684212
JiangNing,28.40909090909091
QiXia,38.0
GuLou,61.79775280898877
QiXia,44.55136772698922
Pukou,24.561403508771928
GuLou,53.431290699615964
JiangNing,31.11111111111111
JiangNing,38.775510204081634
GuLou,43.918918918918926
JianYe,120.0
QinHuai,66.66666666666667
JiangNing,57.24800654262933
Pukou,26.509572901325477
Pukou,22.4
GuLou,55.33333333333334
QinHuai,41.49377593360996
QinHuai,89.65114012862989
Pukou,30.66666666666667
JianYe,82.75862068965517
Pukou,18.01801801801802
Pukou,52.941176470588225
Pukou,23.33540759178593
QinHuai,26.869158878504678
GuLou,43.33333333333334
XuanWu,84.08796895213455
QinHuai,50.526315789473685
QiXia,43.650793650793645
QiXia,30.612244897959183
XuanWu,48.686479358961364
YuHuaTai,35.95505617977528
GuLou,52.17949747130128
JiangNing,31.11111111111111
JiangNing,17.1875
JiangNing,30.0
QinHuai,34.48275862068966
JiangNing,44.71544715447155
Pukou,16.853932584269664
GuLou,46.08294930875577
GuLou,64.31695394906096
JiangNing,64.44444444444444
YuHuaTai,87.5
Pukou,22.222222222222218
JiangNing,37.38317757009346
GuLou,63.06306306306306
Pukou,32.857142857142854
QiXia,38.46153846153846
QiXia,46.2962962962963
JiangNing,50.0
Pukou,27.777777777777782
Pukou,28.805672501661864
JiangNing,40.24390243902439
JianYe,64.35643564356435
Pukou,30.0
QiXia,40.55944055944056
GuLou,58.33333333333334
Pukou,18.55670103092784
JiangNing,8.965517241379311
JianYe,108.33333333333331
Pukou,28.947368421052627
QinHuai,45.24180967238689
JiangNing,27.908156793099074
JiangNing,27.777777777777782
XuanWu,55.33980582524272
QinHuai,33.6
GuLou,84.0
GuLou,46.66666666666666
YuHuaTai,175.0
JiangNing,43.7956204379562
QinHuai,80.0
JiangNing,20.83333333333333
Pukou,30.656934306569344
QinHuai,153.91304347826087
XuanWu,48.07692307692307
JiangNing,52.58787711043454
Pukou,27.777777777777782
XuanWu,47.694753577106525
Pukou,24.324324324324326
QinHuai,31.11111111111111
Pukou,27.777777777777782
Pukou,29.33333333333333
JianYe,67.41573033707866
QiXia,58.97435897435897
QinHuai,66.66666666666667
QinHuai,42.857142857142854
JiangNing,29.16666666666667
QiXia,30.927835051546392
Pukou,47.61904761904761
YuHuaTai,48.59676831490707
JiangNing,32.22222222222222
QinHuai,70.52631578947368
JianYe,66.57963446475196
QinHuai,186.04651162790694
JianYe,85.98773740092719
JiangNing,66.0
JiangNing,32.29527104959631
JiangNing,32.0
JiangNing,17.616580310880828
JianYe,58.96095227500278
QiXia,16.811069442648392
XuanWu,66.66666666666667
GuLou,51.16279069767442
Pukou,27.272727272727273
XuanWu,38.75
QinHuai,66.99419383653418
QiXia,58.33333333333334
JiangNing,25.064451446576914
GuLou,43.33333333333334
JiangNing,33.333333333333336
JianYe,62.941803040573255
QinHuai,60.0
Pukou,24.87252829250093
QiXia,17.789637536135203
QinHuai,51.900687333426845
JianYe,43.07692307692307
JiangNing,34.666666666666664
JiangNing,34.48275862068966
QinHuai,53.76344086021506
QiXia,32.22222222222222
JiangNing,42.10526315789474
JiangNing,23.36448598130841
Pukou,31.818181818181817
JiangNing,50.0
JiangNing,43.956043956043956
QinHuai,70.0
JiangNing,39.02439024390244
QiXia,30.701754385964907
JiangNing,18.47826086956522
JiangNing,22.573363431151247
QiXia,31.45643284051589
Pukou,20.40816326530612
GuLou,51.55229694123038
Pukou,28.88888888888889
JianYe,22.72727272727273
JiangNing,25.0
JianYe,53.846153846153854
JiangNing,31.82390771066764
XuanWu,43.68932038834952
QinHuai,45.783132530120476
JiangNing,28.40909090909091
YuHuaTai,71.42857142857143
Pukou,40.0
JiangNing,35.0
JiangNing,26.37362637362637
QinHuai,87.82201405152226
QiXia,42.08481709291033
QinHuai,124.0
JiangNing,42.78074866310161
XuanWu,55.0
QiXia,39.62264150943396
QiXia,43.10344827586207
Pukou,29.069767441860467
Pukou,29.54545454545455
Pukou,22.0
Pukou,28.88888888888889
JianYe,57.14285714285714
JiangNing,16.666666666666668
GuLou,75.0
Pukou,26.211453744493394
JianYe,53.7037037037037
GuLou,70.0
JiangNing,15.873015873015873
Pukou,21.808088818398094
JiangNing,23.863636363636363
JiangNing,40.0
JiangNing,35.0
QiXia,22.151898734177212
JiangNing,16.870993139129457
QiXia,60.0
JiangNing,18.75
GuLou,66.66666666666667
Pukou,32.467532467532465
QiXia,45.45454545454545
QinHuai,32.726082687902256
Pukou,30.952380952380953
QiXia,127.71084337349396
JiangNing,90.07121910347715
JiangNing,38.18181818181818
JiangNing,43.29896907216496
Pukou,28.98550724637681
GuLou,46.05263157894736
GuLou,48.9734413260501
GuLou,87.5
QinHuai,100.0
JiangNing,39.844814931320116
XuanWu,103.125
JiangNing,82.36046511627906
QinHuai,50.0
XuanWu,115.29411764705885
JiangNing,35.3386621792175
JiangNing,22.93577981651376
JianYe,84.75609756097559
Pukou,26.580226904376012
Pukou,13.483146067415731
JiangNing,30.337078651685392
JiangNing,34.666666666666664
JiangNing,12.096774193548386
QiXia,32.608695652173914
QinHuai,37.142857142857146
Pukou,24.324324324324326
GuLou,82.12475974139439
QiXia,41.02564102564103
QiXia,48.148148148148145
QiXia,36.66666666666666
QiXia,31.11111111111111
GuLou,38.888888888888886
XuanWu,70.0
QiXia,47.61904761904761
QiXia,63.63636363636363
