JiangNing, 38363.18721344638, 1002
XuanWu, 16465.22938336309, 262
YuHuaTai, 7154.73732972394, 124
LiShui, 274.2431499851252, 14
LiuHe, 137.0447358869751, 7
QinHuai, 41685.74336213761, 641
JianYe, 33119.1858104408, 533
GuLou, 34125.92473131122, 551
QiXia, 34639.560664350254, 773
Pukou, 22971.354624861102, 808
JiangNing, 36471.78239576377, 958
XuanWu, 16225.53038047535, 242
YuHuaTai, 7607.839809089532, 132
LiShui, 178.94238563785117, 12
LiuHe, 104.91233905416973, 7
QinHuai, 41362.70843343516, 637
JianYe, 33217.636664321464, 531
GuLou, 35163.14216894876, 560
QiXia, 34966.55464005345, 776
Pukou, 24561.32626897247, 860
JiangNing, 39118.004978477584, 947
XuanWu, 18088.139995986603, 291
YuHuaTai, 7020.3741552705715, 121
LiShui, 247.317575804845, 15
LiuHe, 147.11379918209047, 8
QinHuai, 41211.00765374229, 596
JianYe, 35739.00811764586, 570
GuLou, 35757.77701104633, 593
QiXia, 33649.47986744297, 742
Pukou, 23725.70152568778, 832
JiangNing, 36711.491049411, 990
XuanWu, 17265.49721515202, 274
YuHuaTai, 6915.396114796976, 121
LiShui, 142.94550637296732, 8
LiuHe, 134.73285486443382, 6
QinHuai, 41063.73751754617, 649
JianYe, 29381.31925975109, 472
GuLou, 35921.78634315928, 586
QiXia, 36594.60789052379, 781
Pukou, 23441.369868576185, 828
JiangNing, 39470.334433597425, 948
XuanWu, 17131.091554671086, 268
YuHuaTai, 6491.9570187629, 105
LiShui, 196.08997032072614, 11
LiuHe, 60.785845360313445, 3
QinHuai, 41317.895335546295, 655
JianYe, 34572.70903742988, 552
GuLou, 35548.66486881673, 586
QiXia, 34899.209286105965, 754
Pukou, 23455.5493132549, 833
