(u'JiangNing', (26726.650880888268, 732))
(u'XuanWu', (11966.253146051118, 183))
(u'YuHuaTai', (6280.604911532199, 108))
(u'LiShui', (176.44736842105263, 9))
(u'LiuHe', (38.562889645864125, 3))
(u'QinHuai', (29082.46184794267, 465))
(u'JianYe', (23503.862458262414, 387))
(u'GuLou', (28059.23182351273, 489))
(u'QiXia', (26905.22602171048, 561))
(u'Pukou', (16908.753866991818, 597))
(u'JiangNing', (53453.30176177652, 1464))
(u'XuanWu', (23932.50629210222, 366))
(u'YuHuaTai', (12561.209823064404, 216))
(u'LiShui', (352.89473684210526, 18))
(u'LiuHe', (77.12577929172825, 6))
(u'QinHuai', (58164.923695885365, 930))
(u'JianYe', (47007.72491652484, 774))
(u'GuLou', (56118.4636470255, 978))
(u'QiXia', (53810.45204342084, 1122))
(u'Pukou', (33817.50773398368, 1194))
(u'JiangNing', (89088.83626962757, 2440))
(u'XuanWu', (39887.51048683704, 610))
(u'YuHuaTai', (20935.349705107343, 360))
(u'LiShui', (588.1578947368421, 30))
(u'LiuHe', (128.54296548621375, 10))
(u'QinHuai', (96941.53949314216, 1550))
(u'JianYe', (78346.20819420807, 1290))
(u'GuLou', (93530.77274504234, 1630))
(u'QiXia', (89684.08673903467, 1870))
(u'Pukou', (56362.512889973, 1990))
(u'JiangNing', (115815.48715051591, 3172))
(u'XuanWu', (51853.763632888156, 793))
(u'YuHuaTai', (27215.954616639552, 468))
(u'LiShui', (764.6052631578946, 39))
(u'LiuHe', (167.10585513207783, 13))
(u'QinHuai', (126024.00134108478, 2015))
(u'JianYe', (101850.07065247043, 1677))
(u'GuLou', (121590.00456855491, 2119))
(u'QiXia', (116589.31276074507, 2431))
(u'Pukou', (73271.26675696482, 2587))
(u'JiangNing', (142542.13803140423, 3904))
(u'XuanWu', (63820.01677893927, 976))
(u'YuHuaTai', (33496.55952817176, 576))
(u'LiShui', (941.0526315789471, 48))
(u'LiuHe', (205.66874477794192, 16))
(u'QinHuai', (155106.4631890271, 2480))
(u'JianYe', (125353.93311073279, 2064))
(u'GuLou', (149649.23639206763, 2608))
(u'QiXia', (143494.5387824557, 2992))
(u'Pukou', (90180.02062395637, 3184))
(u'JiangNing', (169268.7889122923, 4636))
(u'XuanWu', (75786.26992499027, 1159))
(u'YuHuaTai', (39777.16443970395, 684))
(u'LiShui', (1117.4999999999995, 57))
(u'LiuHe', (244.231634423806, 19))
(u'QinHuai', (184188.92503696945, 2945))
(u'JianYe', (148857.79556899547, 2451))
(u'GuLou', (177708.46821558042, 3097))
(u'QiXia', (170399.76480416654, 3553))
(u'Pukou', (107088.77449094792, 3781))
(u'JiangNing', (178177.672539255, 4880))
(u'XuanWu', (79775.02097367393, 1220))
(u'YuHuaTai', (41870.69941021468, 720))
(u'LiShui', (1176.3157894736837, 60))
(u'LiuHe', (257.0859309724274, 20))
(u'QinHuai', (193883.07898628357, 3100))
(u'JianYe', (156692.4163884164, 2580))
(u'GuLou', (187061.54549008468, 3260))
(u'QiXia', (179368.17347807015, 3740))
(u'Pukou', (112725.0257799451, 3980))
(u'JiangNing', (178177.672539255, 4880))
(u'XuanWu', (79775.02097367393, 1220))
(u'YuHuaTai', (41870.69941021468, 720))
(u'LiShui', (1176.3157894736837, 60))
(u'LiuHe', (257.0859309724274, 20))
(u'QinHuai', (193883.07898628357, 3100))
(u'JianYe', (156692.4163884164, 2580))
(u'GuLou', (187061.54549008468, 3260))
(u'QiXia', (179368.17347807015, 3740))
(u'Pukou', (112725.0257799451, 3980))
(u'JiangNing', (178177.672539255, 4880))
(u'XuanWu', (79775.02097367393, 1220))
(u'YuHuaTai', (41870.69941021468, 720))
(u'LiShui', (1176.3157894736837, 60))
(u'LiuHe', (257.0859309724274, 20))
(u'QinHuai', (193883.07898628357, 3100))
(u'JianYe', (156692.4163884164, 2580))
(u'GuLou', (187061.54549008468, 3260))
(u'QiXia', (179368.17347807015, 3740))
(u'Pukou', (112725.0257799451, 3980))
